,OBJECTID_1,GIS_ID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,AREA,LEN,SHAPE_Length,SHAPE_Area,NEIGHBORHOODCLUSTER,INCOME_LEVEL_2005
0,1,Tract00_017,22.01,22.1,0.16,21869.35,3505,2000 Tract 22.01,1135,824,0.24,2681,0.76,-147,126,-393,46,22,273,178,-4.03,3652,3505,-147,-0.04,29,2938,2,14,0,4,456,905,0.8,22.1, ,132,218,27,58,98,269,350,0,0,0,0,0,0,61,272,53943913.0,36179.69,28487.0,49226475.0,32345.0,0,0,2575.69,415112.02,17,LOW_INCOME
1,2,Tract00_158,9.01,9.1,1.16,6188.13,7208,2000 Tract 9.01,1465,948,0.13,6260,0.87,364,-80,131,14,36,-6,383,5.32,6844,7208,364,0.05,5655,389,13,323,7,310,410,1301,0.89,9.1, ,468,571,11,11,36,29,1039,10,10,0,4215774,4215774,0,95,244,477654010.0,293399.27,105399.0,491999497.0,139934.0,0,0,7097.34,3016851.73,13,HIGH_INCOME
2,3,Tract00_018,13.02,13.2,0.62,10176.56,6294,2000 Tract 13.02,4632,341,0.05,5953,0.95,318,273,-6,20,145,-9,54,5.32,5976,6294,318,0.05,4995,368,7,360,1,27,410,1420,0.31,13.2, ,182,561,11,21,27,69,743,169,1,168,17600000,600000,17000000,315,3446,288845784.0,78299.21,56676.0,294212897.0,67927.0,0,0,5998.95,1601867.52,12,MID_INCOME
3,4,Tract00_019,25.01,25.1,0.21,11400.25,2392,2000 Tract 25.01,885,510,0.21,1882,0.79,3,112,-288,27,18,292,247,0.13,2389,2392,3,0.0,185,1605,1,15,0,8,534,542,0.61,25.1, ,120,126,21,42,52,128,246,0,0,0,0,0,0,75,321,48061278.0,43298.45,27553.5,45509375.0,31890.5,0,0,3106.34,543438.49,18,LOW_INCOME
4,5,Tract00_020,23.01,23.1,0.15,20076.42,2995,2000 Tract 23.01,1048,673,0.22,2322,0.78,-348,79,-518,32,20,164,112,-10.41,3343,2995,-348,-0.1,43,2620,9,13,3,12,244,760,0.73,23.1, ,85,196,18,57,108,228,281,0,0,0,0,0,0,64,292,47301412.0,39221.73,30733.0,43536452.0,35158.0,0,0,2986.77,386372.74,18,MID_INCOME
5,6,Tract00_022,95.04,95.4,0.39,8514.69,3353,2000 Tract 95.04,1312,601,0.18,2752,0.82,126,-179,280,22,34,21,41,3.9,3227,3353,126,0.04,562,2552,3,81,1,4,102,708,0.54,95.4, ,123,209,26,37,137,157,332,0,0,0,0,0,0,102,521,59146507.0,44740.17,35486.5,55634768.0,41637.5,0,0,4246.25,1019918.41,20,MID_INCOME
6,7,Tract00_023,10.02,10.2,0.34,10082.05,3465,2000 Tract 10.02,2281,222,0.06,3243,0.94,-69,-165,-17,17,141,41,99,-1.95,3534,3465,-69,-0.02,2415,213,9,354,2,14,345,692,0.3,10.2, ,93,294,11,16,55,57,387,0,0,0,0,0,0,324,1431,103611998.0,81777.43,59945.0,103243527.0,72738.0,0,0,3970.08,890144.28,14,MID_INCOME
7,8,Tract00_024,23.02,23.2,0.79,1702.4,1345,2000 Tract 23.02,567,138,0.1,1207,0.9,-3072,-2126,-914,3,-18,-78,16,-69.55,4417,1345,-3072,-0.7,387,841,9,20,0,4,52,166,0.29,23.2, ,31,39,8,16,30,59,70,0,0,0,0,0,0,146,238,26493894.0,36392.71,23942.0,24379701.0,27481.5,0,0,6178.72,2046248.26,21,LOW_INCOME
8,9,Tract00_026,25.02,25.2,0.23,23505.72,5486,2000 Tract 25.02,1920,1363,0.25,4123,0.75,640,513,-947,48,46,1425,1268,13.21,4846,5486,640,0.13,165,3026,14,38,1,17,2130,737,0.38,25.2, ,295,247,47,87,172,255,542,0,0,0,0,0,0,157,660,78494728.0,33134.12,25160.0,70487737.0,29268.5,0,0,3240.26,604483.24,18,LOW_INCOME
9,10,Tract00_150,9.02,9.2,0.83,2382.65,1973,2000 Tract 9.02,837,403,0.2,1570,0.8,18,4,23,5,7,21,26,0.92,1955,1973,18,0.01,1684,95,1,62,0,0,89,689,0.82,9.2, ,190,244,13,10,32,29,434,3,3,0,650000,650000,0,91,228,151454009.0,190268.86,90259.0,155484137.0,108978.0,0,0,8793.16,2144701.5,13,MID_HIGH_INCOME
